County,Population,Mileage
Barnstable,215888,396
Berkshire,131219,931
Bristol,548285,556
Dukes,16535,104
Essex,743159,498
Franklin,71372,702
Hampden,463490,618
Hampshire,158080,529
Middlesex,1503085,824
Nantucket,10172,48
Norfolk,670850,400
Plymouth,494919,661
Suffolk,722023,58
Worcester,798552,1513
